PeakID (cmd=annotatePeaks.pl tss mm10 -list ../data/raw/KDM5C_unbound_allgerm_HOMER.txt -m E2F.motif -size -300,300)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%	E2F Distance From Peak(sequence,strand,conservation)
NM_010084	chr8	24674455	24675055	-	0	NA	promoter-TSS (NM_010084)	promoter-TSS (NM_010084)	0	NM_010084	13524		NM_010084	ENSMUSG00000031552	Adam18	Adam27|Dtgn3|Tmdc3|tMDCIII	a disintegrin and metallopeptidase domain 18	protein-coding	0.030000	0.530782	
NM_001045516	chr11	78193092	78193692	+	0	NA	promoter-TSS (NM_001045516)	promoter-TSS (NM_001045516)	0	NM_001045516	216974		NM_001045516	ENSMUSG00000044122	Proca1	4933404M19Rik	protein interacting with cyclin A1	protein-coding	0.006667	0.472546	
NM_009650	chr6	126852798	126853398	+	0	NA	promoter-TSS (NM_009650)	promoter-TSS (NM_009650)	0	NM_009650	11642		NM_009650	ENSMUSG00000030344	Akap3	Prka3	A kinase anchor protein 3	protein-coding	0.003333	0.444260	
NM_175008	chr14	36094665	36095265	+	0	NA	promoter-TSS (NM_175008)	promoter-TSS (NM_175008)	0	NM_175008	218921		NM_175008	ENSMUSG00000096405	4930474N05Rik	-	RIKEN cDNA 4930474N05 gene	protein-coding	0.001667	0.450915	
NR_024198	chr8	3803059	3803659	-	0	NA	promoter-TSS (NR_024198)	promoter-TSS (NR_024198)	0	NR_024198	19785		NR_024198	ENSMUSG00000088025	Rprl3	RPRH4|Rmrp4	ribonuclease P RNA-like 3	ncRNA	0.026667	0.484193	81(TCCCGC,+,0.00)
NM_153397	chr8	24948504	24949104	-	0	NA	promoter-TSS (NM_001293693)	promoter-TSS (NM_001293693)	0	NM_153397	353188		NM_153397	ENSMUSG00000037437	Adam32	-	a disintegrin and metallopeptidase domain 32	protein-coding	0.041667	0.524126	
NM_053156	chr12	28582228	28582828	-	0	NA	promoter-TSS (NM_001364359)	promoter-TSS (NM_001364359)	0	NM_053156	94041		NM_053156	ENSMUSG00000020636	Allc	1700012B22Rik|Alc	allantoicase	protein-coding	0.018333	0.494176	
NM_023630	chr17	88668360	88668960	+	0	NA	promoter-TSS (NM_023630)	promoter-TSS (NM_023630)	0	NM_023630	71828		NM_023630	ENSMUSG00000024154	Gtf2a1l	1700011N16Rik|Alf|Gtf2a1lf	general transcription factor IIA, 1-like	protein-coding	0.041667	0.534110	
NR_029904	chr2	38853530	38854130	+	0	NA	promoter-TSS (NR_029904)	promoter-TSS (NR_029904)	0	NR_029904	723903		NR_029904	ENSMUSG00000065578	Mir181b-2	Mirn181b-2|mir-181b-2	microRNA 181b-2	ncRNA	0.008333	0.389351	
NM_001111293	chrX	73148541	73149141	+	0	NA	promoter-TSS (NM_001111293)	promoter-TSS (NM_001111293)	0	NM_001111293	627081		NM_001111293	ENSMUSG00000072479	Xlr5b	-	X-linked lymphocyte-regulated 5B	protein-coding	0.035000	0.582363	
NM_001081095	chr4	39449993	39450593	+	0	NA	promoter-TSS (NM_001081095)	promoter-TSS (NM_001081095)	0	NM_001081095	75471		NM_001081095	ENSMUSG00000028287	1700009N14Rik	-	RIKEN cDNA 1700009N14 gene	protein-coding	0.008333	0.454243	
NM_025721	chr9	62281879	62282479	-	0	NA	promoter-TSS (NM_025721)	promoter-TSS (NM_025721)	0	NM_025721	66712		NM_025721	ENSMUSG00000046846	Spesp1	4921508E09Rik	sperm equatorial segment protein 1	protein-coding	0.050000	0.594010	
NM_008545	chr2	121955792	121956392	-	0	NA	promoter-TSS (NM_212450)	promoter-TSS (NM_212450)	0	NM_008545	17147		NM_008545	ENSMUSG00000074881	Mageb3	Mage-b3|Mage-ps1|Mage-rs3|Smage3	MAGE family member B3	protein-coding	0.091667	0.643927	-292(GCGGGA,-,0.00),-276(GCGGGA,-,0.00),45(TCCCGC,+,0.00),176(GCGGGA,-,0.00),213(GCGGGA,-,0.00)
NM_001195673	chr17	56769976	56770576	+	0	NA	promoter-TSS (NM_001195673)	promoter-TSS (NM_001195673)	0	NM_001195673	100504446		NM_001195673	ENSMUSG00000090273	Prr22	Gm546	proline rich 22	protein-coding	0.016667	0.603993	
NM_016910	chr11	85310954	85311554	+	0	NA	promoter-TSS (NM_016910)	promoter-TSS (NM_016910)	0	NM_016910	53892		NM_016910	ENSMUSG00000020525	Ppm1d	Wip1	protein phosphatase 1D magnesium-dependent, delta isoform	protein-coding	0.105000	0.653910	162(TCCCGC,+,0.00),197(GCGGGA,-,0.00),265(GCGGGA,-,0.00)
NM_001167578	chr17	13354272	13354872	+	0	NA	promoter-TSS (NM_001167578)	promoter-TSS (NM_001167578)	0	NM_001167578	100041352		NM_001167578	ENSMUSG00000052469	Tcp10c	D17Leh66C|D17Leh66ca|Gm9880|T66C-a|Tcp-10c	t-complex protein 10c	protein-coding	0.010000	0.459235	
NM_031382	chrX	112093220	112093820	+	0	NA	promoter-TSS (NM_031382)	promoter-TSS (NM_031382)	0	NM_031382	83556		NM_031382	ENSMUSG00000079460	Tex16	4933403O08Rik	testis expressed gene 16	protein-coding	0.000000	0.405990	
NM_001103168	chr9	21066793	21067393	-	0	NA	promoter-TSS (NM_001103168)	promoter-TSS (NM_001103168)	0	NM_001103168	100009600		NM_001103168	ENSMUSG00000079681	Zglp1	Glp1	zinc finger, GATA-like protein 1	protein-coding	0.056667	0.622296	
NM_012013	chr6	86016891	86017491	+	0	NA	promoter-TSS (NM_012013)	promoter-TSS (NM_012013)	0	NM_012013	26910		NM_012013	ENSMUSG00000030001	Figla	FIGalpha|bHLHc8	folliculogenesis specific basic helix-loop-helix	protein-coding	0.046667	0.652246	
NM_025954	chr17	24470126	24470726	+	0	NA	promoter-TSS (NM_025954)	promoter-TSS (NM_025954)	0	NM_025954	67078		NM_025954	ENSMUSG00000043445	Pgp	1700012G19Rik|AUM|G3PP	phosphoglycolate phosphatase	protein-coding	0.133333	0.715474	-254(TCCCGC,+,0.00),-92(GCGGGA,-,0.00)
NM_010294	chr5	97456723	97457323	-	0	NA	promoter-TSS (NM_010294)	promoter-TSS (NM_010294)	0	NM_010294	14626		NM_010294	ENSMUSG00000050553	Gk2	GKTA|Gk-rs2	glycerol kinase 2	protein-coding	0.018333	0.450915	70(GCGGGA,-,0.00)
NM_198898	chrX	8591516	8592116	-	0	NA	promoter-TSS (NM_198898)	promoter-TSS (NM_198898)	0	NM_198898	278174		NM_198898	ENSMUSG00000079701	Ssxb3	-	SSX member B3	protein-coding	0.003333	0.419301	
NR_029733	chr14	61631810	61632410	-	0	NA	promoter-TSS (NR_029734)	promoter-TSS (NR_029734)	0	NR_029733	387174		NR_029733	ENSMUSG00000093007	Mir15a	Mirn15a|mir-15a|mmu-mir-15a	microRNA 15a	ncRNA	0.010000	0.347754	
NM_015798	chr18	84934725	84935325	+	0	NA	promoter-TSS (NM_015798)	promoter-TSS (NM_015798)	0	NM_015798	50764		NM_015798	ENSMUSG00000034391	Fbxo15	Fbx15|ecat3	F-box protein 15	protein-coding	0.011667	0.432612	
NR_029740	chr8	84208218	84208818	+	0	NA	promoter-TSS (NR_029740)	promoter-TSS (NR_029740)	0	NR_029740	387216		NR_029740	ENSMUSG00000065611	Mir23a	Mirn23a|mir-23a|mmu-mir-23a	microRNA 23a	ncRNA	0.013333	0.554077	
NM_001033479	chr3	28892319	28892919	+	0	NA	promoter-TSS (NM_001033479)	promoter-TSS (NM_001033479)	0	NM_001033479	385263		NM_001033479	ENSMUSG00000074655	Gm1527	Gm1136	predicted gene 1527	protein-coding	0.001667	0.374376	
NM_194063	chrX	37249619	37250219	+	0	NA	promoter-TSS (NM_194063)	promoter-TSS (NM_194063)	0	NM_194063	382209		NM_194063	ENSMUSG00000071772	Rhox3a	Gm1138|Prx|Rhox3|Rhox3.1	reproductive homeobox 3A	protein-coding	0.005000	0.434276	
NR_030270	chr12	109722418	109723018	+	0	NA	promoter-TSS (NR_029915)	promoter-TSS (NR_029915)	0	NR_030270	723856		NR_030270	ENSMUSG00000076006	Mir376c	Mirn376c|mir-376c	microRNA 376c	ncRNA	0.010000	0.504160	
NM_028453	chr4	138913668	138914268	-	0	NA	promoter-TSS (NM_001377089)	promoter-TSS (NM_001377089)	0	NM_028453	73162		NM_028453	ENSMUSG00000041161	Otud3	3110030K17Rik	OTU domain containing 3	protein-coding	0.108333	0.680532	209(GCGGGA,-,0.00)
NR_030440	chr2	117184827	117185427	+	0	NA	promoter-TSS (NR_030440)	promoter-TSS (NR_030440)	0	NR_030440	732489		NR_030440	ENSMUSG00000076376	Mir674	Mirn674|mir-674|mmu-mir-674	microRNA 674	ncRNA	0.008333	0.460899	
NM_026594	chr16	10169928	10170528	+	0	NA	promoter-TSS (NM_026594)	promoter-TSS (NM_026594)	0	NM_026594	68172		NM_026594	ENSMUSG00000039209	Rpl39l	4930517K11Rik	ribosomal protein L39-like	protein-coding	0.043333	0.519135	75(TCCCGC,+,0.00)
NM_181422	chr19	44192142	44192742	-	0	NA	promoter-TSS (NM_181422)	promoter-TSS (NM_181422)	0	NM_181422	329064		NM_181422	ENSMUSG00000037578	Pkd2l1	B830002B15|PCL|PKD2L|Pkdl|TRPP3	polycystic kidney disease 2-like 1	protein-coding	0.010000	0.537438	
NM_029714	chr7	29726732	29727332	-	0	NA	promoter-TSS (NM_029714)	promoter-TSS (NM_029714)	0	NM_029714	76718		NM_029714	ENSMUSG00000049123	Catsperg2	1700067C01Rik|CATSPERG	cation channel sperm associated auxiliary subunit gamma 2	protein-coding	0.023333	0.547421	
NM_030219	chr9	97369658	97370258	-	0	NA	promoter-TSS (NM_030219)	promoter-TSS (NM_030219)	0	NM_030219	78911		NM_030219	ENSMUSG00000032451	Trim42	4930486B16Rik	tripartite motif-containing 42	protein-coding	0.015000	0.532446	
NM_001081669	chrX	37493110	37493710	+	0	NA	promoter-TSS (NM_001081669)	promoter-TSS (NM_001081669)	0	NM_001081669	434760		NM_001081669	ENSMUSG00000095698	Rhox2d	EG434760|Rhox2.4|Rhox2c	reproductive homeobox 2D	protein-coding	0.020000	0.494176	
NM_199319	chrX	8803391	8803991	+	0	NA	promoter-TSS (NM_199319)	promoter-TSS (NM_199319)	0	NM_199319	387586		NM_199319	ENSMUSG00000071816	Ssxb5	-	SSX member B5	protein-coding	0.008333	0.435940	
NM_001114157	chrX	37668464	37669064	-	0	NA	promoter-TSS (NM_001114157)	promoter-TSS (NM_001114157)	0	NM_001114157	434758		NM_001114157	ENSMUSG00000071769	Rhox3h	EG434758|Rhox3.8|Rhox3g	reproductive homeobox 3H	protein-coding	0.005000	0.434276	
NM_001025351	chr8	19239616	19240216	+	0	NA	promoter-TSS (NM_001025351)	promoter-TSS (NM_001025351)	0	NM_001025351	574081		NM_001025351	ENSMUSG00000071169	Defb46	Defb53|EG574081	defensin beta 46	protein-coding	0.023333	0.489185	
NM_198624	chr7	104150256	104150856	-	0	NA	promoter-TSS (NM_198624)	promoter-TSS (NM_198624)	0	NM_198624	244179		NM_198624	ENSMUSG00000051437	Ubqlnl	4922504M18Rik|Gm490	ubiquilin-like	protein-coding	0.011667	0.419301	
NM_007401	chr8	24824069	24824669	-	0	NA	promoter-TSS (NM_001272059)	promoter-TSS (NM_001272059)	0	NM_007401	11499		NM_007401	ENSMUSG00000031554	Adam5	tMDC II|tMDCII	a disintegrin and metallopeptidase domain 5	protein-coding	0.023333	0.450915	-262(TCCCGC,+,0.00)
NM_009241	chr6	24790888	24791488	+	0	NA	promoter-TSS (NM_009241)	promoter-TSS (NM_009241)	0	NM_009241	20690		NM_009241	ENSMUSG00000029682	Spam1	Ph-20	sperm adhesion molecule 1	protein-coding	0.000000	0.374376	
NM_026105	chr11	23518895	23519495	-	0	NA	promoter-TSS (NM_026105)	promoter-TSS (NM_026105)	0	NM_026105	67358		NM_026105	ENSMUSG00000020286	1700093K21Rik	b2b3025Clo	RIKEN cDNA 1700093K21 gene	protein-coding	0.008333	0.462562	
NM_153778	chr6	72235277	72235877	-	0	NA	promoter-TSS (NM_153778)	promoter-TSS (NM_153778)	0	NM_153778	71093		NM_153778	ENSMUSG00000037621	Atoh8	4933425C05Rik|Hath6|Math6|bHLHa21|okadin	atonal bHLH transcription factor 8	protein-coding	0.075000	0.662230	25(GCGGGA,-,0.00)
NM_026261	chr3	107554773	107555373	-	0	NA	promoter-TSS (NM_026261)	promoter-TSS (NM_026261)	0	NM_026261	67591		NM_026261	ENSMUSG00000055891	Ubl4b	4930522D07Rik	ubiquitin-like 4B	protein-coding	0.010000	0.532446	
NM_183272	chr7	131334322	131334922	+	0	NA	promoter-TSS (NM_183272)	promoter-TSS (NM_183272)	0	NM_183272	68223		NM_183272	ENSMUSG00000030859	Fam24a	1700063I17Rik	family with sequence similarity 24, member A	protein-coding	0.008333	0.422629	
NM_029430	chr15	10558368	10558968	-	0	NA	promoter-TSS (NM_001378878)	promoter-TSS (NM_001378878)	0	NM_029430	75777		NM_029430	ENSMUSG00000022249	Ttc23l	4930401A09Rik	tetratricopeptide repeat domain 23-like	protein-coding	0.026667	0.560732	
NM_001195727	chr7	105374738	105375338	+	0	NA	promoter-TSS (NM_001195727)	promoter-TSS (NM_001195727)	0	NM_001195727	100503879		NM_001195727	ENSMUSG00000078611	Gm5901	EG545989	predicted gene 5901	protein-coding	0.005000	0.452579	
NM_009832	chr12	108179438	108180038	+	0	NA	promoter-TSS (NM_001364266)	promoter-TSS (NM_001364266)	0	NM_009832	12454		NM_009832	ENSMUSG00000021258	Ccnk	CPR4|CycK	cyclin K	protein-coding	0.080000	0.595674	
NM_183113	chr2	68657584	68658184	+	0	NA	promoter-TSS (NM_183113)	promoter-TSS (NM_183113)	0	NM_183113	75721		NM_183113	ENSMUSG00000079324	4932414N04Rik	-	RIKEN cDNA 4932414N04 gene	protein-coding	0.001667	0.430948	
NM_007628	chr3	55054755	55055355	-	0	NA	promoter-TSS (NM_007628)	promoter-TSS (NM_007628)	0	NM_007628	12427		NM_007628	ENSMUSG00000027793	Ccna1	-	cyclin A1	protein-coding	0.075000	0.658902	
NM_027689	chr10	84837848	84838448	+	0	NA	promoter-TSS (NM_027689)	promoter-TSS (NM_027689)	0	NM_027689	71137		NM_027689	ENSMUSG00000020037	Rfx4	4933412G19Rik|NYD-sp10	regulatory factor X, 4 (influences HLA class II expression)	protein-coding	0.013333	0.449251	
NM_030055	chr2	25287845	25288445	+	0	NA	promoter-TSS (NM_030055)	promoter-TSS (NM_030055)	0	NM_030055	78217		NM_030055	ENSMUSG00000026963	Tmem210	4930571C24Rik	transmembrane protein 210	protein-coding	0.001667	0.555740	
NM_153396	chr6	121081327	121081927	-	0	NA	promoter-TSS (NR_138097)	promoter-TSS (NR_138097)	0	NM_153396	194401		NM_153396	ENSMUSG00000051586	Mical3	C130040D16Rik|Mical-3|mKIAA1364	microtubule associated monooxygenase, calponin and LIM domain containing 3	protein-coding	0.033333	0.590682	
NM_029152	chr12	33394554	33395154	+	0	NA	promoter-TSS (NR_131031)	promoter-TSS (NR_131031)	0	NM_029152	75040		NM_029152	ENSMUSG00000020562	Efcab10	4930504H06Rik	EF-hand calcium binding domain 10	protein-coding	0.018333	0.497504	
NM_016902	chr2	127788591	127789191	-	0	NA	promoter-TSS (NM_001291013)	promoter-TSS (NM_001291013)	0	NM_016902	53885		NM_016902	ENSMUSG00000027378	Nphp1	-	nephronophthisis 1 (juvenile) homolog (human)	protein-coding	0.066667	0.570715	14(TCCCGC,+,0.00),54(GCGGGA,-,0.00)
NM_025601	chr8	13562161	13562761	-	0	NA	promoter-TSS (NM_025601)	promoter-TSS (NM_025601)	0	NM_025601	66501		NM_025601	ENSMUSG00000031452	1700029H14Rik	-	RIKEN cDNA 1700029H14 gene	protein-coding	0.026667	0.540765	
NM_177651	chr2	68582113	68582713	+	0	NA	promoter-TSS (NM_177651)	promoter-TSS (NM_177651)	0	NM_177651	227998		NM_177651	ENSMUSG00000053896	4933409G03Rik	-	RIKEN cDNA 4933409G03 gene	protein-coding	0.008333	0.447587	
NM_009618	chr14	66077469	66078069	-	0	NA	promoter-TSS (NM_009618)	promoter-TSS (NM_009618)	0	NM_009618	11495		NM_009618	ENSMUSG00000022039	Adam2	Ftnb|Ph30-beta	a disintegrin and metallopeptidase domain 2	protein-coding	0.026667	0.524126	
NR_029748	chrX	52741628	52742228	-	0	NA	promoter-TSS (NR_029853)	promoter-TSS (NR_029853)	0	NR_029748	723942		NR_029748	ENSMUSG00000065613	Mir92-2	Mirn92-2|mir-92a-2	microRNA 92-2	ncRNA	0.018333	0.412646	
NM_028521	chr2	69789437	69790037	+	0	NA	promoter-TSS (NM_028521)	promoter-TSS (NM_028521)	0	NM_028521	73373		NM_028521	ENSMUSG00000027088	Phospho2	1700048E23Rik|Phos2	phosphatase, orphan 2	protein-coding	0.075000	0.585691	-258(TCCCGC,+,0.00),54(TCCCGC,+,0.00)
NM_029659	chr5	135778085	135778685	-	0	NA	promoter-TSS (NM_001289556)	promoter-TSS (NM_001289556)	0	NM_029659	76571		NM_029659	ENSMUSG00000019178	Styxl1	1700011C14Rik|Dusp24|Mkstyx	serine/threonine/tyrosine interacting-like 1	protein-coding	0.083333	0.653910	
NR_033786	chr12	80924147	80924747	-	0	NA	promoter-TSS (NR_033786)	promoter-TSS (NR_033786)	0	NR_033786	67340		NR_033786	ENSMUSG00000101912	1700052I22Rik	-	RIKEN cDNA 1700052I22 gene	ncRNA	0.008333	0.477537	
NM_029416	chr4	117765366	117765966	-	0	NA	promoter-TSS (NM_029416)	promoter-TSS (NM_029416)	0	NM_029416	75753		NM_029416	ENSMUSG00000048626	Klf17	7420700M05Rik|D4Ertd561e|Gzf|Zfp393	Kruppel-like transcription factor 17	protein-coding	0.021667	0.549085	
NM_010214	chr10	85102195	85102795	-	0	NA	promoter-TSS (NM_010214)	promoter-TSS (NM_010214)	0	NM_010214	14202		NM_010214	ENSMUSG00000050035	Fhl4	-	four and a half LIM domains 4	protein-coding	0.106667	0.702163	-251(TCCCGC,+,0.00),-241(TCCCGC,+,0.00),-179(TCCCGC,+,0.00)
NM_029219	chr4	129057844	129058444	+	0	NA	promoter-TSS (NM_029219)	promoter-TSS (NM_029219)	0	NM_029219	75234		NM_029219	ENSMUSG00000028793	Rnf19b	4930534K13Rik|4930555L03Rik|Ibrdc3	ring finger protein 19B	protein-coding	0.123333	0.720466	75(GCGGGA,-,0.00)
NM_026461	chr14	59142593	59143193	-	0	NA	promoter-TSS (NM_026461)	promoter-TSS (NM_026461)	0	NM_026461	67932		NM_026461	ENSMUSG00000021977	1700129C05Rik	-	RIKEN cDNA 1700129C05 gene	protein-coding	0.010000	0.507488	
NM_013633	chr17	35505732	35506332	+	0	NA	promoter-TSS (NM_013633)	promoter-TSS (NM_013633)	0	NM_013633	18999		NM_013633	ENSMUSG00000024406	Pou5f1	NF-A3|Oct-3|Oct-3/4|Oct-4|Oct3|Oct3/4|Oct4|Otf-3|Otf-4|Otf3|Otf3-rs7|Otf3g|Otf4	POU domain, class 5, transcription factor 1	protein-coding	0.036667	0.633943	
NM_178653	chr1	179667931	179668531	+	0	NA	promoter-TSS (NM_178653)	promoter-TSS (NM_178653)	0	NM_178653	109232		NM_178653	ENSMUSG00000038936	Sccpdh	C330023F11Rik	saccharopine dehydrogenase (putative)	protein-coding	0.115000	0.718802	-270(GCGGGA,-,0.00),236(TCCCGC,+,0.00)
NM_001160345	chr7	52005718	52006318	-	0	NA	promoter-TSS (NR_027704)	promoter-TSS (NR_027704)	0	NM_001160345	75744		NM_001160345	ENSMUSG00000074093	Svip	1700006C13Rik|6620401M08Rik	small VCP/p97-interacting protein	protein-coding	0.060000	0.672213	-155(GCGGGA,-,0.00),247(TCCCGC,+,0.00)
NM_029064	chr2	152962185	152962785	+	0	NA	promoter-TSS (NM_029064)	promoter-TSS (NM_029064)	0	NM_029064	74711		NM_029064	ENSMUSG00000074673	Ttll9	1700016F23Rik|4930509O20Rik	tubulin tyrosine ligase-like family, member 9	protein-coding	0.053333	0.524126	267(GCGGGA,-,0.00)
NM_010092	chr7	28179183	28179783	+	0	NA	promoter-TSS (NM_001271370)	promoter-TSS (NM_001271370)	0	NM_010092	13549		NM_010092	ENSMUSG00000002409	Dyrk1b	Mirk	dual-specificity tyrosine phosphorylation regulated kinase 1b	protein-coding	0.066667	0.613977	
NM_029599	chr2	153870784	153871384	-	0	NA	promoter-TSS (NM_001305048)	promoter-TSS (NM_001305048)	0	NM_029599	76407		NM_029599	ENSMUSG00000027480	Sun5	1700021O15Rik|SPAG4L-2|SRG4|Spag4l	Sad1 and UNC84 domain containing 5	protein-coding	0.008333	0.509151	
NR_033216	chr5	113724472	113725072	-	0	NA	promoter-TSS (NR_033216)	promoter-TSS (NR_033216)	0	NR_033216	381707		NR_033216	ENSMUSG00000042184	1700069L16Rik	1700096P12Rik	RIKEN cDNA 1700069L16 gene	ncRNA	0.035000	0.505824	
NM_029264	chr4	156050517	156051117	-	0	NA	promoter-TSS (NM_029264)	promoter-TSS (NM_029264)	0	NM_029264	330010		NM_029264	ENSMUSG00000029074	Ttll10	4833412E22Rik|4930595O22Rik|Ttll5	tubulin tyrosine ligase-like family, member 10	protein-coding	0.006667	0.495840	261(GCGGGA,-,0.00)
NM_031177	chr6	115853228	115853828	+	0	NA	promoter-TSS (NM_010774)	promoter-TSS (NM_010774)	0	NM_031177	81896		NM_031177	ENSMUSG00000030323	Ift122	Wdr10|sopb	intraflagellar transport 122	protein-coding	0.076667	0.612313	-190(TCCCGC,+,0.00),-152(TCCCGC,+,0.00),189(GCGGGA,-,0.00)
NR_029553	chr8	107550944	107551544	+	0	NA	promoter-TSS (NR_029553)	promoter-TSS (NR_029553)	0	NR_029553	387158		NR_029553	ENSMUSG00000065439	Mir140	Mirn140|mir-140|mmu-mir-140	microRNA 140	ncRNA	0.016667	0.544093	-27(TCCCGC,+,0.00)
NM_031493	chrX	73290215	73290815	-	0	NA	promoter-TSS (NM_031493)	promoter-TSS (NM_031493)	0	NM_031493	27084		NM_031493	ENSMUSG00000067764	Xlr5c	Xlr5	X-linked lymphocyte-regulated 5C	protein-coding	0.011667	0.525790	
NM_008350	chr7	4777841	4778441	-	0	NA	promoter-TSS (NM_008350)	promoter-TSS (NM_008350)	0	NM_008350	16156		NM_008350	ENSMUSG00000004371	Il11	IL-11	interleukin 11	protein-coding	0.031667	0.638935	
NM_031187	chr17	25345262	25345862	-	0	NA	promoter-TSS (NM_031187)	promoter-TSS (NM_031187)	0	NM_031187	100503895		NM_031187	ENSMUSG00000024173	Tpsab1	MMCP-7|Mcp-7|Mcp7|Mcpt7	tryptase alpha/beta 1	protein-coding	0.013333	0.577371	
NM_013611	chr10	61417672	61418272	+	0	NA	promoter-TSS (NM_013611)	promoter-TSS (NM_013611)	0	NM_013611	18119		NM_013611	ENSMUSG00000037171	Nodal	Tg.413d	nodal growth differentiation factor	protein-coding	0.026667	0.577371	
NM_029139	chr8	113642913	113643513	+	0	NA	promoter-TSS (NM_029139)	promoter-TSS (NM_029139)	0	NM_029139	668110		NM_029139	ENSMUSG00000033409	Syce1l	4930481F22Rik|MMRP|PSESS|mmrp2	synaptonemal complex central element protein 1 like	protein-coding	0.031667	0.470882	
NM_025660	chrX	152015995	152016595	-	0	NA	promoter-TSS (NM_019710)	promoter-TSS (NM_019710)	0	NM_025660	66611		NM_025660	ENSMUSG00000025257	Ribc1	2610028I09Rik	RIB43A domain with coiled-coils 1	protein-coding	0.065000	0.569052	-177(GCGGGA,-,0.00)
NM_013694	chr16	10788355	10788955	-	0	NA	promoter-TSS (NM_013694)	promoter-TSS (NM_013694)	0	NM_013694	21959		NM_013694	ENSMUSG00000043050	Tnp2	TP2|Tp-2	transition protein 2	protein-coding	0.026667	0.590682	286(GCGGGA,-,0.00)
NM_031386	chr11	87404765	87405365	+	0	NA	promoter-TSS (NM_001291440)	promoter-TSS (NM_001291440)	0	NM_031386	83560		NM_031386	ENSMUSG00000010342	Tex14	-	testis expressed gene 14 intercellular bridge forming factor	protein-coding	0.051667	0.569052	-111(TCCCGC,+,0.00),210(GCGGGA,-,0.00)
NM_001185002	chrX	38120540	38121140	+	0	NA	promoter-TSS (NM_001185002)	promoter-TSS (NM_001185002)	0	NM_001185002	73614		NM_001185002	ENSMUSG00000050197	Rhox13	1700123J19Rik	reproductive homeobox 13	protein-coding	0.026667	0.490849	
NM_025290	chr17	31276996	31277596	-	0	NA	promoter-TSS (NM_025290)	promoter-TSS (NM_025290)	0	NM_025290	22092		NM_025290	ENSMUSG00000024033	Rsph1	MCA|Tsga2	radial spoke head 1 homolog (Chlamydomonas)	protein-coding	0.061667	0.608985	-34(GCGGGA,-,0.00),146(GCGGGA,-,0.00),284(TCCCGC,+,0.00)
NM_177696	chr7	97919658	97920258	+	0	NA	promoter-TSS (NM_177696)	promoter-TSS (NM_177696)	0	NM_177696	233537		NM_177696	ENSMUSG00000035582	Gdpd4	4921513O04	glycerophosphodiester phosphodiesterase domain containing 4	protein-coding	0.028333	0.492512	
NM_027404	chr12	111712956	111713556	-	0	NA	promoter-TSS (NM_026511)	promoter-TSS (NM_026511)	0	NM_027404	70369		NM_027404	ENSMUSG00000049792	Bag5	1600025G07Rik|4930405J06Rik|Bag-5	BCL2-associated athanogene 5	protein-coding	0.156667	0.733777	-172(TCCCGC,+,0.00),95(GCGGGA,-,0.00)
NM_183104	chr9	46319686	46320286	-	0	NA	promoter-TSS (NM_183104)	promoter-TSS (NM_183104)	0	NM_183104	74361		NM_183104	ENSMUSG00000056617	4931429L15Rik	-	RIKEN cDNA 4931429L15 gene	protein-coding	0.011667	0.482529	
NM_026278	chr8	46010302	46010902	+	0	NA	promoter-TSS (NM_026278)	promoter-TSS (NM_026278)	0	NM_026278	67620		NM_026278	ENSMUSG00000031637	Lrp2bp	1700113N17Rik|2310006J04Rik|4930479L12Rik|MegBP	Lrp2 binding protein	protein-coding	0.015000	0.425957	
NM_025496	chr11	62950893	62951493	+	0	NA	promoter-TSS (NM_025496)	promoter-TSS (NM_025496)	0	NM_025496	66338		NM_025496	ENSMUSG00000042200	Cdrt4	1700019I23Rik	CMT1A duplicated region transcript 4	protein-coding	0.008333	0.499168	
NM_025488	chr12	110682319	110682919	-	0	NA	promoter-TSS (NM_025488)	promoter-TSS (NM_025488)	0	NM_025488	66323		NM_025488	ENSMUSG00000056508	1700001K19Rik	-	RIKEN cDNA 1700001K19 gene	protein-coding	0.010000	0.535774	
NM_028852	chr15	76267789	76268389	+	0	NA	promoter-TSS (NM_028852)	promoter-TSS (NM_028852)	0	NM_028852	74281		NM_028852	ENSMUSG00000049653	Spatc1	1700084J23Rik|speriolin	spermatogenesis and centriole associated 1	protein-coding	0.021667	0.562396	136(GCGGGA,-,0.00)
